SubID,group,condition,Range,Area,Offset,Exponent,R2,Error of fit
ya04,YA,ec,2-25 Hz,Occipital,1.2621,1.2213,0.9719,0.0707
ya05,YA,ec,2-25 Hz,Occipital,0.8864,0.5856,0.9103,0.0685
ya06,YA,ec,2-25 Hz,Occipital,0.95,0.9791,0.9787,0.0441
ya07,YA,ec,2-25 Hz,Occipital,1.0178,0.9782,0.9317,0.1051
ya08,YA,ec,2-25 Hz,Occipital,1.1707,0.956,0.934,0.1152
ya09,YA,ec,2-25 Hz,Occipital,1.7421,1.2961,0.8956,0.0804
ya10,YA,ec,2-25 Hz,Occipital,1.5044,1.3951,0.9812,0.0616
ya11,YA,ec,2-25 Hz,Occipital,1.1082,0.869,0.948,0.0744
ya12,YA,ec,2-25 Hz,Occipital,1.877,1.4512,0.953,0.1206
ya13,YA,ec,2-25 Hz,Occipital,1.2395,1.4077,0.9821,0.0543
ya14,YA,ec,2-25 Hz,Occipital,0.85,0.8552,0.9217,0.0879
ya15,YA,ec,2-25 Hz,Occipital,0.7104,0.9317,0.9637,0.0716
ya16,YA,ec,2-25 Hz,Occipital,0.9,0.806,0.9626,0.0626
ya17,YA,ec,2-25 Hz,Occipital,0.8118,0.8395,0.9326,0.0821
ya18,YA,ec,2-25 Hz,Occipital,0.6499,0.7758,0.9633,0.067
ya19,YA,ec,2-25 Hz,Occipital,0.5569,0.5123,0.9759,0.0243
ya21,YA,ec,2-25 Hz,Occipital,0.6096,0.6628,0.9504,0.0842
ya22,YA,ec,2-25 Hz,Occipital,1.4376,1.0712,0.9694,0.0547
